Processes: 490 total, 3 running, 487 sleeping, 3732 threads 
2025/06/01 16:00:37
Load Avg: 1.34, 1.62, 2.05 
CPU usage: 5.19% user, 13.13% sys, 81.67% idle 
SharedLibs: 237M resident, 54M data, 35M linkedit.
MemRegions: 1112708 total, 1435M resident, 113M private, 713M shared.
PhysMem: 7458M used (1421M wired, 3505M compressor), 177M unused.
VM: 297T vsize, 5709M framework vsize, 760695(0) swapins, 1104588(0) swapouts.
Networks: packets: 12705930/15G in, 3015601/1167M out.
Disks: 14222817/346G read, 4802138/119G written.

PID    COMMAND          %CPU TIME     #TH   #WQ #PORTS MEM   PURG  CMPRS PGRP  PPID  STATE    BOOSTS        %CPU_ME %CPU_OTHRS UID FAULTS   COW    MSGSENT  MSGRECV   SYSBSD    SYSMACH   CSW       PAGEINS IDLEW    POWER INSTRS CYCLES JETPRI USER               #MREGS RPRVT VPRVT VSIZE KPRVT KSHRD
24907  wifip2pd         0.0  00:00.31 2     1   60     4513K 0B    3536K 24907 1     sleeping *0[26]        0.00000 0.00000    0   3121     156    1238     2193      3670      3948      2439      564     1        0.0   0      0      0      root               N/A    N/A   N/A   N/A   N/A   N/A  
24906  routined         0.0  00:01.74 2     1   173    13M   0B    11M   24906 1     sleeping *0[7]         0.00000 0.00000    501 15218    301    1434     612       48406     23828     29145     2005    0        0.0   0      0      0      jaydeneatgood      N/A    N/A   N/A   N/A   N/A   N/A  
24905  com.apple.audio. 0.0  00:00.02 2     1   22     3153K 0B    2880K 24905 1     sleeping *0[2]         0.00000 0.00000    501 936      162    103      41        514       286       60        28      0        0.0   0      0      0      jaydeneatgood      N/A    N/A   N/A   N/A   N/A   N/A  
24904  containermanager 0.0  00:00.07 2     1   33     2881K 0B    2576K 24904 1     sleeping *0[2]         0.00000 0.00000    262 1063     123    134      53        1200      290       215       19      0        0.0   0      0      0      _cmiodalassistants N/A    N/A   N/A   N/A   N/A   N/A  
24903  trustd           0.0  00:00.16 2     1   50     5633K 0B    5344K 24903 1     sleeping *0[4]         0.00000 0.00000    205 1800     145    247      91        4442      619       996       13      1        0.0   0      0      0      _locationd         N/A    N/A   N/A   N/A   N/A   N/A  
24902  trustdFileHelper 0.0  00:00.05 2     1   31     2673K 0B    2384K 24902 1     sleeping *0[1]         0.00000 0.00000    0   943      122    96       44        864       240       111       4       0        0.0   0      0      0      root               N/A    N/A   N/A   N/A   N/A   N/A  
24901  cfprefsd         0.0  00:00.05 2     1   30     2193K 0B    1968K 24901 1     sleeping  0[0]         0.00000 0.00000    205 831      116    115      42        733       268       190       2       0        0.0   0      0      0      _locationd         N/A    N/A   N/A   N/A   N/A   N/A  
24900  trustd           0.0  00:00.20 2     1   57     6753K 0B    5744K 24900 1     sleeping *0[4]         0.00000 0.00000    262 4351     165    320      140       5591      833       997       95      8        0.0   0      0      0      _cmiodalassistants N/A    N/A   N/A   N/A   N/A   N/A  
24899  cfprefsd         0.0  00:00.04 2     1   28     2209K 0B    1984K 24899 1     sleeping *0[6]         0.00000 0.00000    262 829      115    114      43        701       260       181       4       0        0.0   0      0      0      _cmiodalassistants N/A    N/A   N/A   N/A   N/A   N/A  
24898  secinitd         0.0  00:00.06 2     1   40     3313K 0B    3040K 24898 1     sleeping *0[8]         0.00000 0.00000    205 1126     143    182      66        1107      371       428       3       0        0.0   0      0      0      _locationd         N/A    N/A   N/A   N/A   N/A   N/A  
24897  secinitd         0.0  00:00.06 2     1   43     3521K 0B    3232K 24897 1     sleeping *0[1]         0.00000 0.00000    262 1109     143    182      65        1102      369       217       12      0        0.0   0      0      0      _cmiodalassistants N/A    N/A   N/A   N/A   N/A   N/A  
24896  com.apple.geod   0.0  00:00.30 2     1   48     5553K 0B    4448K 24896 1     sleeping *0[16]        0.00000 0.00000    205 6488     181    249      88        6519      578       1988      100     11       0.0   0      0      0      _locationd         N/A    N/A   N/A   N/A   N/A   N/A  
24895  com.apple.geod   0.0  00:00.20 2     1   46     5665K 0B    4720K 24895 1     sleeping *0[1]         0.00000 0.00000    262 6624     181    241      83        4756      551       1509      157     9        0.0   0      0      0      _cmiodalassistants N/A    N/A   N/A   N/A   N/A   N/A  
24890  csnameddatad     0.0  00:00.01 2     1   24     1777K 0B    1568K 24890 1     sleeping *0[2]         0.00000 0.00000    501 682      115    104      38        410       235       137       4       0        0.0   0      0      0      jaydeneatgood      N/A    N/A   N/A   N/A   N/A   N/A  
24888  ecosystemanalyti 0.0  00:00.08 2     1   34     3377K 0B    3056K 24888 1     sleeping  0[0]         0.00000 0.00000    0   1185     148    127      45        1095      296       668       43      0        0.0   0      0      0      root               N/A    N/A   N/A   N/A   N/A   N/A  
24886  CarbonComponentS 0.0  00:01.26 3     1   49     8061K 0B    7728K 24886 1     sleeping *0[1]         0.00000 0.00000    501 12524    130    4402     2190      7698      2846      6007      6137    0        0.0   0      0      0      jaydeneatgood      N/A    N/A   N/A   N/A   N/A   N/A  
24885  com.apple.geod   0.0  00:00.76 2     1   60     6257K 0B    5296K 24885 1     sleeping *0[10]        0.00000 0.00000    501 7220     182    304      152       18578     709       4320      477     11       0.0   0      0      0      jaydeneatgood      N/A    N/A   N/A   N/A   N/A   N/A  
24884  AudioComponentRe 0.0  00:00.14 2     1   70     4113K 0B    3808K 24884 1     sleeping *0[1]         0.00000 0.00000    501 2045     139    215      74        1443      477       625       135     0        0.0   0      0      0      jaydeneatgood      N/A    N/A   N/A   N/A   N/A   N/A  
24883  com.apple.SiriTT 0.0  00:00.08 2     1   36     5953K 0B    5600K 24883 1     sleeping *0[24]        0.00000 0.00000    501 1662     150    212      98        1643      392       717       188     0        0.0   0      0      0      jaydeneatgood      N/A    N/A   N/A   N/A   N/A   N/A  
24881  AssetCacheTether 0.0  00:00.10 2     1   30     2449K 0B    2160K 24881 1     sleeping  0[0]         0.00000 0.00000    0   1091     124    84       34        659       249       879       164     0        0.0   0      0      0      root               N/A    N/A   N/A   N/A   N/A   N/A  
24880  Slack Helper (Pl 0.0  00:00.24 11    1   315    18M   0B    14M   24835 24835 sleeping *0[10]        0.00000 0.00000    501 8704     640    1473     409       2850      4670      3503      795     21       0.0   0      0      180    jaydeneatgood      N/A    N/A   N/A   N/A   N/A   N/A  
24879  Slack Helper     0.0  00:00.15 9     1   164    12M   0B    11M   24835 24835 sleeping *0[7]         0.00000 0.00000    501 5584     566    757      117       1269      3116      2508      531     35       0.0   0      0      180    jaydeneatgood      N/A    N/A   N/A   N/A   N/A   N/A  
24878  AssetCache       0.0  00:00.09 2     1   47     3809K 0B    3520K 24878 1     sleeping  0[0]         0.00000 0.00000    235 1301     145    142      52        1026      317       455       97      0        0.0   0      0      0      _assetcache        N/A    N/A   N/A   N/A   N/A   N/A  
24877  installd         0.0  00:00.04 2     1   40     2577K 0B    2304K 24877 1     sleeping  0[0]         0.00000 0.00000    0   812      136    881      431       596       789       274       10      0        0.0   0      0      0      root               N/A    N/A   N/A   N/A   N/A   N/A  
24876  system_installd  0.0  00:00.04 2     1   40     2641K 0B    2368K 24876 1     sleeping  0[0]         0.00000 0.00000    0   829      136    881      431       595       789       227       33      0        0.0   0      0      0      root               N/A    N/A   N/A   N/A   N/A   N/A  
24875  cloudd           0.0  00:00.19 2     1   51     4849K 0B    4464K 24875 1     sleeping *0[87]        0.00000 0.00000    0   2550     179    200      228       4214      609       1669      98      1        0.0   0      0      0      root               N/A    N/A   N/A   N/A   N/A   N/A  
24874  com.apple.quickl 0.0  00:00.16 4     2   65     4817K 0B    4512K 24874 1     sleeping  0[0]         0.00000 0.00000    501 2047     160    222      80        2393      501       1071      128     0        0.0   0      0      0      jaydeneatgood      N/A    N/A   N/A   N/A   N/A   N/A  
24873  geodMachServiceB 0.0  00:00.03 2     1   38     2273K 0B    2016K 24873 1     sleeping *0[4]         0.00000 0.00000    501 800      131    138      52        407       284       254       84      0        0.0   0      0      0      jaydeneatgood      N/A    N/A   N/A   N/A   N/A   N/A  
24872  deleted_helper   0.0  00:00.06 2     1   24     1825K 0B    1616K 24872 1     sleeping  0[0]         0.00000 0.00000    0   662      116    201      99        444       298       632       4       0        0.0   0      0      0      root               N/A    N/A   N/A   N/A   N/A   N/A  
24871  pkd              0.0  00:00.15 2     1   64     3729K 0B    3424K 24871 1     sleeping *0[4]         0.00000 0.00000    501 2505     145    436      171       1837      714       898       164     0        0.0   0      0      0      jaydeneatgood      N/A    N/A   N/A   N/A   N/A   N/A  
24870  deleted          0.0  00:02.07 2     1   70     4945K 0B    4592K 24870 1     sleeping *0[5]         0.00000 0.00000    501 2946     172    20388    10117     24767     18095     9096      405     0        0.0   0      0      0      jaydeneatgood      N/A    N/A   N/A   N/A   N/A   N/A  
24869  containermanager 0.0  00:00.04 2     1   34     4833K 0B    4496K 24869 1     sleeping *0[1]         0.00000 0.00000    0   1220     121    102      44        1037      244       164       92      0        0.0   0      0      0      root               N/A    N/A   N/A   N/A   N/A   N/A  
24867  findmydevice-use 0.0  00:00.07 2     1   43     3009K 0B    2736K 24867 1     sleeping *0[3]         0.00000 0.00000    501 1433     147    150      47        613       352       533       28      1        0.0   0      0      0      jaydeneatgood      N/A    N/A   N/A   N/A   N/A   N/A  
24866  storagekitd      0.0  00:00.59 6     1   83     4545K 0B    4224K 24866 1     sleeping  0[0]         0.00000 0.00000    0   1826     153    11414    5526      3795      10936     3452      198     0        0.0   0      0      0      root               N/A    N/A   N/A   N/A   N/A   N/A  
24865  systemstatusd    0.0  00:00.19 5     4   57     3073K 0B    1280K 24865 1     sleeping *0[6]         0.00000 0.00000    0   4109     126    232      105       3117      433       1031      38      0        0.0   0      0      0      root               N/A    N/A   N/A   N/A   N/A   N/A  
24864  mobileactivation 0.0  00:00.10 2     1   41     2849K 0B    2576K 24864 1     sleeping  0[0]         0.00000 0.00000    0   1075     126    1194     586       885       1096      398       46      0        0.0   0      0      0      root               N/A    N/A   N/A   N/A   N/A   N/A  
24862  findmydeviced    0.0  00:00.12 2     1   75     4545K 0B    4224K 24862 1     sleeping  0[0]         0.00000 0.00000    0   1747     181    614      255       1544      918       958       173     0        0.0   0      0      0      root               N/A    N/A   N/A   N/A   N/A   N/A  
24861  MTLCompilerServi 0.0  00:03.11 2     1   36     18M   0B    17M   24861 1     sleeping *0[70]        0.00000 0.00000    501 15292    314    9830     4929      7062      5299      9548      1256    0        0.0   0      0      0      jaydeneatgood      N/A    N/A   N/A   N/A   N/A   N/A  
